DU,IR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/2020 0:00,273.785278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/2020 0:00,263.700897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2020 0:00,272.017853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2020 0:00,284.300232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2021 0:00,284.255615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2021 0:00,290.525909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2021 0:00,301.713135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/2021 0:00,301.410156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2021 0:00,299.558868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/2021 0:00,282.056335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/2021 0:00,280.744446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2021 0:00,281.07309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/2021 0:00,274.375305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/2021 0:00,271.139923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2021 0:00,277.008881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2021 0:00,280.319031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2022 0:00,288.149109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2022 0:00,295.584076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2022 0:00,293.05954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/2022 0:00,304.769897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/2022 0:00,286.826202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/2022 0:00,286.692291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/2022 0:00,281.012207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2022 0:00,282.261169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/2022 0:00,275.486633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/2022 0:00,266.883759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2022 0:00,264.446808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2022 0:00,282.636414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
